Speaker,Text
SOCRATES,"But when a man is well, my dear Polemarchus, there is no need of a physician?"
POLEMARCHUS,No.
SOCRATES,And he who is not on a voyage has no need of a pilot?
POLEMARCHUS,No.
SOCRATES,Then in time of peace justice will be of no use?
POLEMARCHUS,I am very far from thinking so.
SOCRATES,You think that justice may be of use in peace as well as in war?
POLEMARCHUS,Yes.
SOCRATES,Like husbandry for the acquisition of corn?
POLEMARCHUS,Yes.
SOCRATES,"Or like shoemaking for the acquisition of shoes,--that is what you mean?"
POLEMARCHUS,Yes.
SOCRATES,And what similar use or power of acquisition has justice in time of peace?
POLEMARCHUS,"In contracts, Socrates, justice is of use."
SOCRATES,And by contracts you mean partnerships?
POLEMARCHUS,Exactly.
SOCRATES,But is the just man or the skilful player a more useful and better partner at a game of draughts?
POLEMARCHUS,The skilful player.
SOCRATES,And in the laying of bricks and stones is the just man a more useful or better partner than the builder?
POLEMARCHUS,Quite the reverse.
SOCRATES,"Then in what sort of partnership is the just man a better partner than the harp-player, as in playing the harp the harp-player is certainly a better partner than the just man?"
POLEMARCHUS,In a money partnership.
SOCRATES,"Yes, Polemarchus, but surely not in the use of money; for you do not want a just man to be your counsellor the purchase or sale of a horse; a man who is knowing about horses would be better for that, would he not?"
POLEMARCHUS,Certainly.
SOCRATES,"And when you want to buy a ship, the shipwright or the pilot would be better?"
POLEMARCHUS,True.
SOCRATES,Then what is that joint use of silver or gold in which the just man is to be preferred?
POLEMARCHUS,When you want a deposit to be kept safely.
SOCRATES,"You mean when money is not wanted, but allowed to lie?"
POLEMARCHUS,Precisely.
SOCRATES,"That is to say, justice is useful when money is useless?"
POLEMARCHUS,That is the inference.
SOCRATES,"And when you want to keep a pruning-hook safe, then justice is useful to the individual and to the state; but when you want to use it, then the art of the vine-dresser?"
POLEMARCHUS,Clearly.
SOCRATES,"And when you want to keep a shield or a lyre, and not to use them, you would say that justice is useful; but when you want to use them, then the art of the soldier or of the musician?"
POLEMARCHUS,Certainly.
SOCRATES,"And so of all the other things;--justice is useful when they are useless, and useless when they are useful?"
POLEMARCHUS,That is the inference.
SOCRATES,Then justice is not good for much.  But let us consider this further point:  Is not he who can best strike a blow in a boxing match or in any kind of fighting best able to ward off a blow?
POLEMARCHUS,Certainly.
SOCRATES,And he who is most skilful in preventing or escaping from a disease is best able to create one?
POLEMARCHUS,True.
SOCRATES,And he is the best guard of a camp who is best able to steal a march upon the enemy?
POLEMARCHUS,Certainly.
SOCRATES,Then he who is a good keeper of anything is also a good thief?
POLEMARCHUS,"That, I suppose, is to be inferred."
SOCRATES,"Then if the just man is good at keeping money, he is good at stealing it."
POLEMARCHUS,That is implied in the argument.
SOCRATES,"Then after all the just man has turned out to be a thief.  And this is a lesson which I suspect you must have learnt out of Homer; for he, speaking of Autolycus, the maternal grandfather of Odysseus, who is a favourite of his, affirms that He was excellent above all men in theft and perjury. And so, you and Homer and Simonides are agreed that justice is an art of theft; to be practised however 'for the good of friends and for the harm of enemies,'--that was what you were saying?"
POLEMARCHUS,"No, certainly not that, though I do not now know what I did say; but I still stand by the latter words."
SOCRATES,"Well, there is another question:  By friends and enemies do we mean those who are so really, or only in seeming?"
POLEMARCHUS,"Surely, he said, a man may be expected to love those whom he thinks good, and to hate those whom he thinks evil."
SOCRATES,"Yes, but do not persons often err about good and evil: many who are not good seem to be so, and conversely?"
POLEMARCHUS,That is true.
SOCRATES,Then to them the good will be enemies and the evil will be their friends? 
POLEMARCHUS,True.
SOCRATES,And in that case they will be right in doing good to the evil and evil to the good?
POLEMARCHUS,Clearly.
SOCRATES,But the good are just and would not do an injustice?
POLEMARCHUS,True.
SOCRATES,Then according to your argument it is just to injure those who do no wrong?
POLEMARCHUS,"Nay, Socrates; the doctrine is immoral."
SOCRATES,Then I suppose that we ought to do good to the just and harm to the unjust?
POLEMARCHUS,I like that better.
SOCRATES,"But see the consequence:--Many a man who is ignorant of human nature has friends who are bad friends, and in that case he ought to do harm to them; and he has good enemies whom he ought to benefit; but, if so, we shall be saying the very opposite of that which we affirmed to be the meaning of Simonides."
POLEMARCHUS,"Very true, he said:  and I think that we had better correct an error into which we seem to have fallen in the use of the words 'friend' and 'enemy.'"
SOCRATES,"What was the error, Polemarchus?  I asked."
POLEMARCHUS,We assumed that he is a friend who seems to be or who is thought good.
SOCRATES,And how is the error to be corrected?
POLEMARCHUS,"We should rather say that he is a friend who is, as well as seems, good; and that he who seems only, and is not good, only seems to be and is not a friend; and of an enemy the same may be said."
SOCRATES,You would argue that the good are our friends and the bad our enemies?
POLEMARCHUS,Yes.
SOCRATES,"And instead of saying simply as we did at first, that it is just to do good to our friends and harm to our enemies, we should further say: It is just to do good to our friends when they are good and harm to our enemies when they are evil?"
POLEMARCHUS,"Yes, that appears to me to be the truth."
SOCRATES,But ought the just to injure any one at all?
POLEMARCHUS,Undoubtedly he ought to injure those who are both wicked and his enemies.
SOCRATES,"When horses are injured, are they improved or deteriorated?"
POLEMARCHUS,The latter.
SOCRATES,"Deteriorated, that is to say, in the good qualities of horses, not of dogs?"
POLEMARCHUS,"Yes, of horses."
SOCRATES,"And dogs are deteriorated in the good qualities of dogs, and not of horses?"
POLEMARCHUS,Of course.
SOCRATES,And will not men who are injured be deteriorated in that which is the proper virtue of man?
POLEMARCHUS,Certainly.
SOCRATES,And that human virtue is justice?
POLEMARCHUS,To be sure.
SOCRATES,Then men who are injured are of necessity made unjust?
POLEMARCHUS,That is the result.
SOCRATES,But can the musician by his art make men unmusical?
POLEMARCHUS,Certainly not.
SOCRATES,Or the horseman by his art make them bad horsemen?
POLEMARCHUS,Impossible.
SOCRATES,"And can the just by justice make men unjust, or speaking general can the good by virtue make them bad?"
POLEMARCHUS,Assuredly not.
SOCRATES,Any more than heat can produce cold?
POLEMARCHUS,It cannot.
SOCRATES,Or drought moisture?
POLEMARCHUS,Clearly not.
SOCRATES,Nor can the good harm any one?
POLEMARCHUS,Impossible.
SOCRATES,And the just is the good?
POLEMARCHUS,Certainly.
SOCRATES,"Then to injure a friend or any one else is not the act of a just man, but of the opposite, who is the unjust?"
POLEMARCHUS,"I think that what you say is quite true, Socrates."
SOCRATES,"Then if a man says that justice consists in the repayment of debts, and that good is the debt which a man owes to his friends, and evil the debt which he owes to his enemies,--to say this is not wise; for it is not true, if, as has been clearly shown, the injuring of another can be in no case just."
POLEMARCHUS,"I agree with you, said Polemarchus."
SOCRATES,"Then you and I are prepared to take up arms against any one who attributes such a saying to Simonides or Bias or Pittacus, or any other wise man or seer?"
POLEMARCHUS,"I am quite ready to do battle at your side, he said."
SOCRATES,Shall I tell you whose I believe the saying to be?
POLEMARCHUS,Whose?
SOCRATES,"I believe that Periander or Perdiccas or Xerxes or Ismenias the Theban, or some other rich and mighty man, who had a great opinion of his own power, was the first to say that justice is 'doing good to your friends and harm to your enemies.'"
POLEMARCHUS,"Most true, he said."
SOCRATES,"Yes, I said; but if this definition of justice also breaks down, what other can be offered?"
