Speaker,Text
ADEIMANTUS,It is.
SOCRATES,"Then in the larger the quantity of justice is likely to be larger and more easily discernible.  I propose therefore that we enquire into the nature of justice and injustice, first as they appear in the State, and secondly in the individual, proceeding from the greater to the lesser and comparing them."
ADEIMANTUS,"That, he said, is an excellent proposal."
SOCRATES,"And if we imagine the State in process of creation, we shall see the justice and injustice of the State in process of creation also."
ADEIMANTUS,I dare say.
SOCRATES,When the State is completed there may be a hope that the object of our search will be more easily discovered.
ADEIMANTUS,"Yes, far more easily."
SOCRATES,"But ought we to attempt to construct one?  I said; for to do so, as I am inclined to think, will be a very serious task.  Reflect therefore."
ADEIMANTUS,"I have reflected, said Adeimantus, and am anxious that you should proceed."
SOCRATES,"A State, I said, arises, as I conceive, out of the needs of mankind; no one is self-sufficing, but all of us have many wants.  Can any other origin of a State be imagined?"
ADEIMANTUS,There can I be no other.
SOCRATES,"Then, as we have many wants, and many persons are needed to supply them, one takes a helper for one purpose and another for another; and when these partners and helpers are gathered together in one habitation the body of inhabitants is termed a State."
ADEIMANTUS,"True, he said."
SOCRATES,"And they exchange with one another, and one gives, and another receives, under the idea that the exchange will be for their good."
ADEIMANTUS,Very true.
SOCRATES,"Then, I said, let us begin and create in idea a State; and yet the true creator is necessity, who is the mother of our invention."
ADEIMANTUS,"Of course, he replied."
SOCRATES,"Now the first and greatest of necessities is food, which is the condition of life and existence."
ADEIMANTUS,Certainly.
SOCRATES,"The second is a dwelling, and the third clothing and the like."
ADEIMANTUS,True.
SOCRATES,"And now let us see how our city will be able to supply this great demand: We may suppose that one man is a husbandman, another a builder, some one else a weaver--shall we add to them a shoemaker, or perhaps some other purveyor to our bodily wants?"
ADEIMANTUS,Quite right.
SOCRATES,The barest notion of a State must include four or five men.
ADEIMANTUS,Clearly.
SOCRATES,"And how will they proceed?  Will each bring the result of his labours into a common stock?--the individual husbandman, for example, producing for four, and labouring four times as long and as much as he need in the provision of food with which he supplies others as well as himself; or will he have nothing to do with others and not be at the trouble of producing for them, but provide for himself alone a fourth of the food in a fourth of the time, and in the remaining three-fourths of his time be employed in making a house or a coat or a pair of shoes, having no partnership with others, but supplying himself all his own wants?"
ADEIMANTUS,He should aim at producing food only and not at producing everything.
SOCRATES,"Probably, I replied, that would be the better way; and when I hear you say this, I am myself reminded that we are not all alike; there are diversities of natures among us which are adapted to different occupations."
ADEIMANTUS,Very true.
SOCRATES,"And will you have a work better done when the workman has many occupations, or when he has only one?"
ADEIMANTUS,When he has only one.
SOCRATES,"Further, there can be no doubt that a work is spoilt when not done at the right time?"
ADEIMANTUS,No doubt.
SOCRATES,"For business is not disposed to wait until the doer of the business is at leisure; but the doer must follow up what he is doing, and make the business his first object."
ADEIMANTUS,He must.
SOCRATES,"And if so, we must infer that all things are produced more plentifully and easily and of a better quality when one man does one thing which is natural to him and does it at the right time, and leaves other things."
ADEIMANTUS,Undoubtedly..
SOCRATES,"Then more than four citizens will be required; for the husbandman will not make his own plough or mattock, or other implements of agriculture, if they are to be good for anything.  Neither will the builder make his tools--and he too needs many; and in like manner the weaver and shoemaker."
ADEIMANTUS,True.
SOCRATES,"Then carpenters, and smiths, and many other artisans, will be sharers in our little State, which is already beginning to grow?"
ADEIMANTUS,True.
SOCRATES,"Yet even if we add neatherds, shepherds, and other herdsmen, in order that our husbandmen may have oxen to plough with, and builders as well as husbandmen may have draught cattle, and curriers and weavers fleeces and hides,--still our State will not be very large."
ADEIMANTUS,That is true; yet neither will it be a very small State which contains all these.
SOCRATES,"Then, again, there is the situation of the city--to find a place where nothing need be imported is well-nigh impossible."
ADEIMANTUS,Impossible.
SOCRATES,Then there must be another class of citizens who will bring the required supply from another city?
ADEIMANTUS,There must.
SOCRATES,"But if the trader goes empty-handed, having nothing which they require who would supply his need, he will come back empty-handed."
ADEIMANTUS,That is certain.
SOCRATES,"And therefore what they produce at home must be not only enough for themselves, but such both in quantity and quality as to accommodate those from whom their wants are supplied."
ADEIMANTUS,Very true.
SOCRATES,Then more husbandmen and more artisans will be required?
ADEIMANTUS,They will.
SOCRATES,"Not to mention the importers and exporters, who are called merchants?"
ADEIMANTUS,Yes.
SOCRATES,Then we shall want merchants?
ADEIMANTUS,We shall.
SOCRATES,"And if merchandise is to be carried over the sea, skilful sailors will also be needed, and in considerable numbers?"
ADEIMANTUS,"Yes, in considerable numbers."
SOCRATES,"Then, again, within the city, how will they exchange their productions? To secure such an exchange was, as you will remember, one of our principal objects when we formed them into a society and constituted a State."
ADEIMANTUS,Clearly they will buy and sell.
SOCRATES,"Then they will need a market-place, and a money-token for purposes of exchange."
ADEIMANTUS,Certainly.
SOCRATES,"Suppose now that a husbandman, or an artisan, brings some production to market, and he comes at a time when there is no one to exchange with him,--is he to leave his calling and sit idle in the market-place?"
ADEIMANTUS,"Not at all; he will find people there who, seeing the want, undertake the office of salesmen.  In well-ordered States they are commonly those who are the weakest in bodily strength, and therefore of little use for any other purpose; their duty is to be in the market, and to give money in exchange for goods to those who desire to sell and to take money from those who desire to buy."
SOCRATES,"This want, then, creates a class of retail-traders in our State.  Is not 'retailer' the term which is applied to those who sit in the market-place engaged in buying and selling, while those who wander from one city to another are called merchants?"
ADEIMANTUS,"Yes, he said."
SOCRATES,"And there is another class of servants, who are intellectually hardly on the level of companionship; still they have plenty of bodily strength for labour, which accordingly they sell, and are called, if I do not mistake, hirelings, hire being the name which is given to the price of their labour."
ADEIMANTUS,True.
SOCRATES,Then hirelings will help to make up our population?
ADEIMANTUS,Yes.
SOCRATES,"And now, Adeimantus, is our State matured and perfected?"
ADEIMANTUS,I think so.
SOCRATES,"Where, then, is justice, and where is injustice, and in what part of the State did they spring up?"
ADEIMANTUS,Probably in the dealings of these citizens with one another.  cannot imagine that they are more likely to be found anywhere else.
SOCRATES,"I dare say that you are right in your suggestion, I said; we had better think the matter out, and not shrink from the enquiry. Let us then consider, first of all, what will be their way of life, now that we have thus established them.  Will they not produce corn, and wine, and clothes, and shoes, and build houses for themselves?  And when they are housed, they will work, in summer, commonly, stripped and barefoot, but in winter substantially clothed and shod.  They will feed on barley-meal and flour of wheat, baking and kneading them, making noble cakes and loaves; these they will serve up on a mat of reeds or on clean leaves, themselves reclining the while upon beds strewn with yew or myrtle.  And they and their children will feast, drinking of the wine which they have made, wearing garlands on their heads, and hymning the praises of the gods, in happy converse with one another.  And they will take care that their families do not exceed their means; having an eye to poverty or war."
